,,,,,,,
Average Daily Ridership,,,,,,,
,,,,,,,
Does not include discontinued or unknown routes.,,,,,,,
,,,,,,,
Mode,Transit Bus,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Average Daily Ridership,,,,,,,
,,Weekday,,Saturday,,Sunday,
,June,512,,291,,1,
26,July,226,246,89,133,0,0
,August,259,257,80,143,0,0
,September,309,295,135,143,0,0
,October,274,,158,,0,
,November,292,,129,,0,
,December,237,,165,,0,
,January,240,,109,,0,
,February,242,,151,,0,
,March,247,,153,,0,
,April,240,,164,,0,
,May,234,,111,,0,
,June,230,,153,,0,
27,July,425,403,193,198,2,3
,August,439,408,248,256,1,2
,September,542,457,249,192,2,2
,October,464,,268,,2,
,November,443,,192,,1,
,December,353,,231,,1,
,January,419,,162,,2,
,February,412,,219,,2,
,March,398,,228,,1,
,April,434,,269,,3,
,May,426,,207,,108,
,June,412,,280,,3,
28,July,,225,,0,,0
,August,,243,,0,,0
,September,,232,,0,,0
,October,8,,0,,0,
,November,144,,0,,0,
,December,153,,0,,0,
,January,174,,0,,0,
,February,175,,0,,0,
,March,167,,0,,0,
,April,178,,0,,0,
,May,176,,0,,0,
,June,178,,0,,0,
29,July,366,328,202,205,0,0
,August,355,342,255,256,0,0
,September,391,402,200,222,0,0
,October,315,,266,,0,
,November,333,,203,,0,
,December,323,,248,,0,
,January,337,,172,,0,
,February,352,,220,,0,
,March,341,,239,,0,
,April,350,,242,,0,
,May,361,,192,,0,
,June,329,,233,,0,
30,July,"3,704","3,257","2,676","2,623","2,722","2,608"
,August,"2,848","2,616","3,423","3,189","2,522","2,199"
,September,748,772,"2,125","1,268","1,932","1,244"
,October,1,,0,,0,
,March,1,,0,,0,
,April,3,,1,,0,
,May,662,,875,,867,
,June,"1,984",,"2,525",,"1,957",
31,July,974,946,637,823,820,772
,August,632,595,831,877,570,583
,September,28,18,293,0,275,223
,January,0,,0,,0,
,March,0,,0,,0,
,April,1,,0,,3,
,May,89,,159,,253,
,June,373,,693,,417,
32,July,456,385,339,253,258,220
,August,420,351,420,413,285,270
,September,15,12,115,0,106,113
,November,0,,0,,0,
,March,1,,0,,0,
,April,1,,1,,3,
,May,62,,41,,72,
,June,302,,230,,210,
33,July,463,448,285,249,52,41
,August,459,443,362,265,42,42
,September,519,477,254,262,71,38
,October,461,,309,,75,
,November,456,,245,,37,
,December,389,,286,,35,
,January,455,,225,,33,
,February,454,,283,,42,
,March,451,,314,,43,
,April,501,,353,,59,
,May,475,,235,,44,
,June,445,,296,,40,
36,July,704,762,256,260,0,0
,August,775,805,272,367,0,0
,September,936,895,336,249,0,0
,October,854,,511,,3,
,November,936,,300,,0,
,December,883,,406,,0,
,January,941,,290,,0,
,February,966,,359,,0,
,March,932,,341,,0,
,April,905,,396,,0,
,May,836,,240,,0,
,June,836,,377,,0,
41,July,458,476,229,258,0,0
,August,473,469,357,311,0,0
,September,516,506,281,249,0,0
,October,464,,321,,0,
,November,494,,228,,0,
,December,439,,303,,0,
,January,524,,235,,0,
,February,494,,315,,0,
,March,491,,330,,0,
,April,489,,322,,0,
,May,438,,233,,0,
,June,465,,354,,0,
43,July,163,161,95,94,0,0
,August,163,150,88,109,0,0
,September,148,167,101,82,0,0
,October,158,,151,,0,
,November,160,,96,,0,
,December,164,,131,,0,
,January,165,,74,,0,
,February,154,,115,,0,
,March,152,,123,,0,
,April,165,,118,,0,
,May,160,,111,,0,
,June,163,,124,,0,
44,July,499,558,269,314,0,0
,August,551,552,370,422,0,0
,September,582,614,337,356,0,0
,October,539,,394,,0,
,November,596,,349,,0,
,December,544,,421,,0,
,January,611,,328,,0,
,February,597,,425,,0,
,March,584,,439,,0,
,April,576,,426,,0,
,May,595,,322,,0,
,June,565,,439,,0,
45,July,"1,798","1,669",934,943,476,460
,August,"1,903","1,670","1,260","1,129",490,443
,September,"2,176","1,918","1,162",963,567,474
,October,"1,942",,"1,342",,447,
,November,"2,047",,"1,094",,386,
,December,"1,796",,"1,297",,434,
,January,"1,983",,948,,478,
,February,"1,908",,"1,258",,517,
,March,"1,810",,"1,276",,379,
,April,"1,901",,"1,354",,528,
,May,"1,778",,"1,013",,505,
,June,"1,723",,"1,339",,514,
47,July,932,923,326,419,0,0
,August,951,899,535,511,0,21
,September,"1,015","1,002",463,390,0,0
,October,945,,560,,0,
,November,"1,053",,462,,23,
,December,932,,572,,0,
,January,"1,006",,419,,0,
,February,947,,514,,0,
,March,911,,519,,0,
,April,955,,569,,0,
,May,994,,426,,0,
,June,906,,532,,0,
50,July,301,297,126,128,0,0
,August,312,305,174,178,0,0
,September,352,324,150,280,0,0
,October,323,,179,,0,
,November,305,,175,,0,
,December,301,,206,,0,
,January,344,,145,,0,
,February,342,,186,,0,
,March,329,,195,,0,
,April,321,,184,,0,
,May,356,,147,,0,
,June,343,,201,,0,
57,July,407,432,233,245,0,0
,August,478,445,323,321,0,0
,September,595,491,280,265,0,0
,October,504,,297,,0,
,November,549,,269,,0,
,December,466,,303,,0,
,January,499,,220,,0,
,February,528,,326,,0,
,March,496,,342,,0,
,April,504,,316,,0,
,May,525,,267,,5,
,June,452,,337,,0,
58,July,272,260,122,146,0,0
,August,275,294,190,196,0,0
,September,316,309,147,155,0,0
,October,275,,226,,0,
,November,298,,140,,0,
,December,256,,185,,0,
,January,293,,142,,0,
,February,310,,181,,0,
,March,276,,194,,0,
,April,287,,207,,0,
,May,280,,132,,0,
,June,271,,187,,0,
64,July,76,93,0,0,0,0
,August,64,108,0,0,0,0
,September,82,106,0,0,0,0
,October,76,,0,,0,
,November,85,,0,,0,
,December,65,,0,,0,
,January,81,,0,,3,
,February,84,,0,,0,
,March,82,,0,,0,
,April,91,,0,,0,
,May,92,,0,,0,
,June,92,,0,,0,
101,July,"1,323","1,156",726,690,431,415
,August,"1,240","1,140",834,832,427,415
,September,"1,298","1,227",768,729,438,398
,October,"1,194",,903,,348,
,November,"1,245",,719,,331,
,December,"1,187",,957,,384,
,January,"1,209",,688,,354,
,February,"1,265",,925,,370,
,March,"1,230",,930,,396,
,April,"1,263",,944,,438,
,May,"1,243",,718,,444,
,June,"1,177",,898,,434,
102,July,238,231,88,91,85,69
,August,249,221,114,117,69,80
,September,270,231,110,87,72,77
,October,239,,117,,57,
,November,268,,95,,52,
,December,245,,113,,63,
,January,252,,80,,56,
,February,241,,105,,74,
,March,238,,110,,70,
,April,226,,122,,70,
,May,238,,99,,78,
,June,199,,106,,70,
103,July,"1,142","1,180",643,698,399,392
,August,"1,123","1,177",771,848,380,389
,September,"1,225","1,289",760,745,425,421
,October,"1,092",,853,,328,
,November,"1,229",,719,,351,
,December,"1,133",,889,,354,
,January,"1,192",,636,,330,
,February,"1,180",,820,,400,
,March,"1,170",,891,,377,
,April,"1,163",,919,,403,
,May,"1,194",,709,,416,
,June,"1,119",,929,,419,
104,July,"1,100","1,034",618,576,388,397
,August,"1,121","1,000",711,751,369,381
,September,"1,151","1,134",712,667,435,410
,October,"1,050",,679,,347,
,November,"1,162",,644,,354,
,December,"1,067",,813,,365,
,January,"1,136",,602,,332,
,February,"1,072",,796,,381,
,March,"1,042",,826,,389,
,April,"1,034",,789,,413,
,May,"1,049",,580,,411,
,June,"1,004",,747,,398,
105,July,983,867,599,587,451,386
,August,946,912,648,729,386,400
,September,988,924,661,580,468,397
,October,920,,780,,372,
,November,957,,658,,362,
,December,894,,797,,387,
,January,909,,559,,279,
,February,854,,693,,430,
,March,816,,718,,382,
,April,834,,720,,385,
,May,858,,569,,425,
,June,835,,736,,404,
106,July,"1,625","1,455",839,829,542,536
,August,"1,555","1,447",931,"1,090",504,518
,September,"1,786","1,486",930,820,568,523
,October,"1,521",,"1,047",,443,
,November,"1,534",,806,,405,
,December,"1,357",,"1,005",,427,
,January,"1,535",,775,,415,
,February,"1,358",,916,,420,
,March,"1,422",,973,,484,
,April,"1,361",,954,,522,
,May,"1,441",,757,,525,
,June,"1,405",,964,,544,
107,July,"1,104","1,048",633,626,499,476
,August,"1,039","1,029",712,757,481,449
,September,"1,094","1,049",724,689,490,505
,October,983,,840,,421,
,November,"1,116",,694,,393,
,December,998,,879,,410,
,January,"1,053",,627,,374,
,February,"1,005",,842,,425,
,March,"1,009",,877,,427,
,April,"1,024",,849,,465,
,May,"1,024",,605,,456,
,June,987,,854,,499,
108,July,316,488,224,312,152,234
,August,303,518,238,438,154,254
,September,316,515,231,354,165,238
,October,297,,260,,113,
,November,430,,298,,172,
,December,420,,393,,170,
,January,434,,286,,160,
,February,434,,356,,202,
,March,442,,421,,227,
,April,487,,440,,267,
,May,471,,343,,267,
,June,467,,399,,262,
109,July,263,276,156,182,128,149
,August,247,257,198,224,126,138
,September,292,271,178,171,152,133
,October,253,,186,,122,
,November,310,,176,,102,
,December,265,,200,,110,
,January,274,,158,,110,
,February,272,,192,,117,
,March,288,,222,,113,
,April,283,,238,,137,
,May,323,,203,,135,
,June,281,,244,,152,
110,July,685,767,350,419,264,276
,August,750,792,380,489,251,278
,September,970,888,487,439,313,291
,October,862,,521,,264,
,November,876,,428,,208,
,December,743,,489,,240,
,January,898,,386,,207,
,February,879,,489,,292,
,March,832,,573,,249,
,April,814,,510,,284,
,May,777,,381,,292,
,June,755,,458,,280,
111,July,679,703,426,398,262,290
,August,686,716,470,563,263,324
,September,783,804,511,498,284,300
,October,690,,588,,253,
,November,728,,456,,232,
,December,661,,562,,255,
,January,730,,442,,236,
,February,714,,553,,261,
,March,715,,589,,257,
,April,736,,572,,295,
,May,705,,461,,311,
,June,684,,552,,283,
112,July,"2,091","2,140","1,136","1,124",647,657
,August,"2,147","2,119","1,304","1,368",626,687
,September,"2,177","2,184","1,308","1,167",731,682
,October,"2,091",,"1,514",,595,
,November,"2,168",,"1,209",,522,
,December,"2,020",,"1,447",,561,
,January,"2,072",,"1,058",,508,
,February,"1,878",,"1,400",,666,
,March,"2,034",,"1,512",,616,
,April,"2,050",,"1,574",,650,
,May,"2,110",,"1,199",,675,
,June,"1,958",,"1,456",,649,
114,July,"1,428","1,481",886,995,522,572
,August,"1,443","1,523","1,061","1,225",511,556
,September,"1,555","1,598","1,093","1,061",591,549
,October,"1,417",,"1,287",,471,
,November,"1,596",,"1,097",,443,
,December,"1,535",,"1,365",,515,
,January,"1,555",,974,,432,
,February,"1,378",,"1,197",,516,
,March,"1,450",,"1,292",,493,
,April,"1,434",,"1,292",,559,
,May,"1,482",,952,,519,
,June,"1,449",,"1,321",,494,
115,July,492,434,220,225,145,160
,August,484,448,245,279,139,145
,September,526,496,242,237,157,152
,October,463,,278,,117,
,November,480,,227,,109,
,December,445,,271,,115,
,January,485,,218,,118,
,February,498,,280,,177,
,March,518,,282,,150,
,April,467,,269,,158,
,May,489,,221,,135,
,June,470,,291,,156,
116,July,373,325,232,218,138,147
,August,380,335,272,277,179,144
,September,323,329,233,196,167,155
,October,290,,271,,117,
,November,274,,164,,95,
,December,244,,208,,97,
,January,258,,159,,90,
,February,274,,191,,110,
,March,268,,217,,115,
,April,279,,236,,113,
,May,282,,171,,129,
,June,281,,254,,144,
117,July,305,298,78,83,58,55
,August,294,313,97,101,50,53
,September,339,349,112,61,55,52
,October,298,,133,,87,
,November,311,,79,,39,
,December,285,,91,,44,
,January,314,,72,,40,
,February,302,,110,,57,
,March,314,,109,,57,
,April,320,,106,,65,
,May,318,,76,,93,
,June,308,,96,,67,
118,July,755,794,378,405,246,281
,August,801,853,452,545,238,276
,September,976,997,498,477,287,292
,October,886,,578,,205,
,November,894,,467,,185,
,December,848,,570,,233,
,January,949,,395,,226,
,February,922,,520,,260,
,March,821,,556,,232,
,April,867,,605,,267,
,May,830,,406,,287,
,June,771,,508,,255,
119,July,138,136,0,0,0,0
,August,143,136,0,0,0,0
,September,156,140,0,0,0,0
,October,141,,0,,0,
,November,144,,0,,0,
,December,130,,0,,0,
,January,128,,0,,0,
,February,115,,0,,0,
,March,122,,0,,0,
,April,133,,0,,1,
,May,128,,0,,11,
,June,125,,0,,0,
120,July,209,224,113,121,82,93
,August,206,229,160,171,72,91
,September,238,229,151,159,84,89
,October,209,,158,,78,
,November,222,,126,,61,
,December,201,,149,,59,
,January,220,,113,,63,
,February,230,,159,,91,
,March,200,,149,,79,
,April,202,,147,,73,
,May,211,,125,,72,
,June,220,,160,,92,
121,July,65,47,0,0,0,0
,August,61,53,0,0,0,0
,September,50,45,0,0,0,0
,October,47,,0,,0,
,November,44,,0,,0,
,December,41,,0,,0,
,January,35,,0,,0,
,February,39,,0,,0,
,March,38,,0,,0,
,April,45,,0,,0,
,May,45,,0,,0,
,June,48,,0,,0,
403,July,16,32,0,0,0,0
,August,15,32,0,0,0,0
,September,15,40,0,0,0,0
,October,18,,0,,0,
,November,20,,0,,0,
,December,17,,0,,0,
,January,21,,0,,0,
,February,33,,0,,0,
,March,30,,0,,0,
,April,40,,0,,0,
,May,29,,0,,0,
,June,33,,0,,0,
405,July,44,49,0,0,0,0
,August,25,57,0,0,0,0
,September,27,57,0,0,0,0
,October,32,,0,,0,
,November,73,,0,,0,
,December,24,,0,,0,
,January,31,,0,,0,
,February,33,,0,,0,
,March,33,,0,,0,
,April,40,,0,,0,
,May,44,,0,,0,
,June,50,,0,,0,
412,July,5,5,0,0,0,0
,August,4,6,0,0,0,0
,September,5,3,0,0,0,0
,October,3,,0,,0,
,November,4,,0,,0,
,December,4,,0,,0,
,January,6,,0,,0,
,February,3,,0,,0,
,March,5,,0,,0,
,April,12,,0,,0,
,May,4,,0,,0,
,June,6,,0,,0,
414,July,125,125,0,0,0,0
,August,126,133,0,0,0,0
,September,114,136,0,0,0,0
,October,114,,0,,0,
,November,108,,0,,0,
,December,99,,0,,0,
,January,100,,0,,0,
,February,119,,0,,0,
,March,109,,0,,0,
,April,125,,0,,0,
,May,119,,0,,0,
,June,120,,0,,0,
415,July,17,27,0,0,0,0
,August,16,27,0,0,0,0
,September,21,26,0,0,0,0
,October,20,,0,,0,
,November,21,,0,,0,
,December,15,,0,,0,
,January,17,,0,,0,
,February,18,,0,,0,
,March,19,,0,,0,
,April,21,,0,,0,
,May,22,,0,,0,
,June,24,,0,,0,
427,July,7,7,6,6,0,0
,August,5,8,7,5,0,0
,September,3,6,5,5,0,12
,October,4,,10,,0,
,November,5,,2,,0,
,December,4,,4,,0,
,January,5,,5,,0,
,February,7,,9,,0,
,March,24,,5,,0,
,April,6,,8,,0,
,May,9,,6,,0,
,June,8,,8,,0,
430,July,40,90,0,0,0,0
,August,43,133,0,0,0,0
,September,50,84,0,0,0,0
,October,43,,0,,0,
,November,56,,0,,0,
,December,37,,0,,0,
,January,62,,0,,0,
,February,53,,0,,0,
,March,66,,0,,0,
,April,58,,0,,0,
,May,69,,1,,0,
,June,57,,0,,0,
918,July,29,21,0,0,0,0
,August,26,20,0,0,0,0
,September,26,21,0,0,0,0
,October,24,,0,,0,
,November,19,,0,,0,
,December,18,,0,,0,
,January,22,,0,,0,
,February,23,,0,,0,
,March,30,,0,,0,
,April,27,,0,,0,
,May,26,,0,,0,
,June,31,,0,,0,
919,July,184,189,0,0,0,0
,August,184,185,0,0,0,0
,September,192,222,0,0,0,0
,October,179,,0,,0,
,November,161,,0,,0,
,December,146,,0,,0,
,January,183,,0,,0,
,February,203,,0,,0,
,March,215,,0,,0,
,April,201,,0,,0,
,May,212,,0,,0,
,June,211,,0,,0,
922,July,152,151,0,0,0,0
,August,163,146,0,0,0,0
,September,164,164,0,0,0,0
,October,151,,0,,0,
,November,146,,0,,0,
,December,127,,0,,0,
,January,161,,0,,0,
,February,154,,3,,0,
,March,176,,0,,0,
,April,166,,0,,0,
,May,172,,0,,0,
,June,166,,0,,0,
960,July,339,300,265,221,271,280
,August,339,297,330,298,295,293
,September,359,287,267,220,272,281
,October,282,,272,,209,
,November,263,,188,,166,
,December,236,,221,,157,
,January,237,,146,,144,
,February,220,,198,,154,
,March,229,,227,,206,
,April,268,,270,,247,
,May,300,,234,,286,
,June,319,,338,,314,
961,July,761,802,357,356,237,256
,August,755,817,406,459,251,243
,September,882,896,418,383,301,267
,October,805,,472,,254,
,November,835,,383,,242,
,December,754,,439,,245,
,January,835,,351,,225,
,February,840,,451,,283,
,March,793,,470,,255,
,April,834,,459,,303,
,May,838,,311,,279,
,June,836,,497,,266,
962,July,0,,0,,0,
965,July,,42,,0,,0
,August,,43,,0,,0
,September,,46,,0,,0
,October,1,,0,,0,
,November,21,,0,,0,
,December,18,,0,,0,
,January,25,,0,,0,
,February,29,,0,,0,
,March,36,,0,,0,
,April,36,,0,,0,
,May,38,,0,,0,
,June,41,,0,,0,
967,July,182,218,0,1,0,0
,August,182,236,0,0,0,0
,September,192,256,0,0,0,0
,October,171,,0,,0,
,November,171,,0,,0,
,December,128,,0,,0,
,January,169,,0,,0,
,February,169,,0,,0,
,March,160,,0,,0,
,April,186,,0,,0,
,May,188,,4,,0,
,June,176,,0,,0,
