Hampton Division  Active Fleet,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#5   MOTORBUS (DIRECTLY OPERATED),,,,,,,,,,,,,,,,,,,,,,,,,
UNIT,YEAR,MAKE,MODEL,TYPE,FLOOR,LENGTH,AIR COND,SEAT / STAND,LIFT/RAMP,FARE BOX,VIDEO,ACS,APC,BIKE RACK,VIN,LICENSE,"ACCEPTANCE
DATE","PURCHASE
PRICE","FTA
LIFE EXPECTANCY
in years","ANNUAL
STRAIGHT
LINE DEPRECIATION","CURRENT
VALUE",TIRE SIZE,ENG,TRANS,GVWR
1222,1999,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +55,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB1818X1070990,46-206L,6/1/1999,"$238,799",12,"$19,733","$2,000",12R 22.5,Cummins ISC,Voith D864.3,"39,600"
20,1999 Gillig,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2002,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +62,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB181821072517,106-774L,6/13/2002,"$247,378",12,"$20,448","$13,251",12R 22.5,Cummuns ISC,Voi D864.3,"39,600"
1508,2002,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +62,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB181X21072518,106-775L,6/13/2002,"$247,378",12,"$20,448","$13,251",12R 22.5,Cummuns ISC,Voi D864.3,"39,600"
1509,2002,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +62,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB181121072519,106-776L,6/13/2002,"$247,378",12,"$20,448","$13,251",12R 22.5,Cummuns ISC,Voi D864.3,"39,600"
1510,2002,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +62,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB181821072520,106-777L,6/13/2002,"$247,378",12,"$20,448","$13,251",12R 22.5,Cummuns ISC,Voi D864.3,"39,600"
1511,2002,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +62,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB181X21072521,106-778L,6/13/2002,"$247,378",12,"$20,448","$13,251",12R 22.5,Cummuns ISC,Voi D864.3,"39,600"
1512,2002,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +62,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB181121072522,106-779L,6/13/2002,"$247,378",12,"$20,448","$13,251",12R 22.5,Cummuns ISC,Voi D864.3,"39,600"
1513,2002,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +62,Ramp,Odyssey,Yes,Yes,No,Yes,15GGB181321072523,106-780L,6/13/2002,"$247,378",12,"$20,448","$13,251",12R 22.5,Cummuns ISC,Voi D864.3,"39,600"
1515,2002,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +62,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGB181721072525,112-578L,7/3/2002,"$247,378",12,"$20,448","$14,372",12R 22.5,Cummuns ISC,Voi D864.3,"39,600"
1516,2003,Gillig,G18B102N4,Bus,LF,35-ft,Yes,32 +62,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGB181931072995,113-889L,7/3/2002,"$254,057",12,"$21,005","$14,709",12R 22.5,Cummuns ISC,Voi D864.3,"39,600"
9,2002 Gillig,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1600,2002,Gillig,G18E102R2,Bus,LF,29-ft,Yes,26 +27,Ramp,Odyssey,Yes,No,No,Yes,15GGE181621090540,113-842L,11/22/2002,"$253,432",12,"$20,953","$22,828",275/70R 22.5,Cummins ISC,Voith D864.3,"30,000"
1602,2002,Gillig,G18E102R2,Bus,LF,29-ft,Yes,26 +27,Ramp,Odyssey,Yes,No,No,Yes,15GGE181X21090542,113-844L,11/22/2002,"$253,432",12,"$20,953","$22,828",275/70R 22.5,Cummins ISC,Voith D864.3,"30,000"
1607,2002,Gillig,G18E102R2,Bus,LF,29-ft,Yes,26 +27,Ramp,Odyssey,Yes,Yes,No,Yes,15GGE181921090547,113-849L,11/19/2002,"$253,432",12,"$20,953","$22,656",275/70R 22.5,Cummuns ISC,Voi D864.3,"30,000"
1608,2002,Gillig,G18E102R2,Bus,LF,29-ft,Yes,26 +27,Ramp,Odyssey,Yes,Yes,No,Yes,15GGE181021090548,113-850L,11/19/2002,"$253,432",12,"$20,953","$22,656",275/70R 22.5,ISC,D864.3,"30,000"
1609,2002,Gillig,G18E102R2,Bus,LF,29-ft,Yes,26 +27,Ramp,Odyssey,Yes,Yes,No,Yes,15GGE181221090549,113-836L,11/19/2002,"$253,432",12,"$20,953","$22,656",275/70R 22.5,Cummuns ISC,Voi D864.3,"30,000"
1610,2002,Gillig,G18E102R2,Bus,LF,29-ft,Yes,26 +27,Ramp,Odyssey,Yes,Yes,No,Yes,15GGE181921090550,113-837L,11/19/2002,"$253,432",12,"$20,953","$22,656",275/70R 22.5,ISC,D864.3,"30,000"
1611,2002,Gillig,G18E102R2,Bus,LF,29-ft,Yes,26 +27,Ramp,Odyssey,Yes,Yes,No,Yes,15GGE181021090551,113-838L,11/19/2002,"$253,432",12,"$20,953","$22,656",275/70R 22.5,Cummuns ISC,Voi D864.3,"30,000"
1612,2002,Gillig,G18E102R2,Bus,LF,29-ft,Yes,26 +27,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGE181221090552,113-839L,11/19/2002,"$253,432",12,"$20,953","$22,656",275/70R 22.5,Cummuns ISC,Voi D864.3,"30,000"
1613,2002,Gillig,G18E102R2,Bus,LF,29-ft,Yes,26 +27,Ramp,Odyssey,Yes,Yes,No,Yes,15GGE181421090553,113-840L,11/19/2002,"$253,432",12,"$20,953","$22,656",275/70R 22.5,Cummuns ISC,Voi D864.3,"30,000"
9,2002 Gillig,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1900,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291041074425,114-832L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
1901,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291241074426,114-833L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
1902,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291441074427,114-834L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
1903,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291641074428,114-835L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
1904,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD291841074429,114-836L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
1905,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291441074430,114-837L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
1906,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291641074431,114-838L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
1907,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291841074432,114-839L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
1908,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD291X41074433,114-840L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
1909,2004,Gillig,G29D102N4,Bus,LF,40-ft,Yes,40 +44,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD291141074434,114-841L,9/3/2004,"$272,945",12,"$22,579","$64,716",12R 22.5,Cummins ISL,Voi D864.3E,"39,600"
10,2004 Gillig,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2036,2007,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291971077657,137-917L,3/6/2007,"$316,940",12,"$26,245","$140,619",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
2037,2007,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291971077658,137-916L,3/8/2007,"$316,940",12,"$26,245","$140,763",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
2038,2007,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291971077659,137-924L,3/6/2007,"$316,940",12,"$26,245","$140,619",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
2039,2007,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD291971077660,137-925L,3/7/2007,"$316,940",12,"$26,245","$140,691",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
2047,2011,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD2716B1179776,166-479L,6/8/2011,"$387,228",12,"$32,102","$308,321",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
2048,2011,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD2718B1179777,166-478L,6/8/2011,"$387,228",12,"$32,102","$308,321",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
2049,2011,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD271XB1179778,166-477L,6/9/2011,"$387,228",12,"$32,102","$308,409",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
2050,2011,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD2711B1179779,166-476L,6/9/2011,"$387,228",12,"$32,102","$308,409",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
2051,2011,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD2718B1179780,166-484L,6/13/2011,"$387,228",12,"$32,102","$308,761",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
2052,2011,Gillig,G29D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD271XB1179781,166-485L,6/13/2011,"$387,228",12,"$32,102","$308,761",12R 22.5,Cummins ISL,Voith D864.3E,"39,600"
10,2007-2011 Gillig,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
E3018,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD271071078532,148053L,12/17/2007,"$335,060",12,"$27,755","$170,343",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3019,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGD271271078533,143908L,12/17/2007,"$335,060",12,"$27,755","$170,343",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3020,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD271471078534,148076L,1/2/2008,"$335,060",12,"$27,755","$171,559",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3021,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD271671078535,148075L,12/28/2007,"$335,060",12,"$27,755","$171,179",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3022,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD271871078536,148073L,12/29/2007,"$335,060",12,"$27,755","$171,255",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3023,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD271X71078537,148072L,1/2/2008,"$335,060",12,"$27,755","$171,559",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3024,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD271171078538,148064L,1/3/2008,"$335,060",12,"$27,755","$171,635",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3025,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD271371078539,148065L,1/8/2008,"$335,060",12,"$27,755","$172,015",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3026,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD271X71078540,148066L,1/9/2008,"$335,060",12,"$27,755","$172,091",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3027,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD271171078541,148063L,1/9/2008,"$335,060",12,"$27,755","$172,091",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3028,2007,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey,Yes,Yes,No,Yes,15GGD271371078542,148062L,1/15/2008,"$335,060",12,"$27,755","$172,548",12R 22.5,ISL 8.9L,Voith D864.5,"39,600"
E3029,2008,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey ,Yes,No,Yes,No,15GGD271881079963,151-688L,8/6/2008,"$343,305",12,"$28,442","$192,666",B305/85R22.10,ISL 8.9L,Voith D864.5,"36,600"
E3030,2008,Gillig,G27D102N4,Bus,LF,40-ft,Yes,38 +41,Ramp,Odyssey ,Yes,No,No,No,15GGD271X81079964,151-693L,8/6/2008,"$343,305",12,"$28,442","$192,666",B305/85R22.10,ISL 8.9L,Voith D864.5,"36,600"
13,2007 Gillig,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
5009,2013,Gillig,G27B102N4,Bus,LF,35-ft,Yes,32+54,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGB2714D1182099,158129L,2/21/2013,"$389,688",12,"$32,307","$365,509",315-80R 22.5 J,Cummins ISL,VOITH D864.5,"39,600"
5010,2013,Gillig,G27B102N4,Bus,LF,35-ft,Yes,32+54,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGB2717D1182100,158130L,2/20/2013,"$389,688",12,"$32,307","$365,421",315-80R 22.5 J,Cummins ISL,VOITH D864.5,"39,600"
5011,2013,Gillig,G27B102N4,Bus,LF,35-ft,Yes,32+54,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGB2719D1182101,158133L,3/1/2013,"$389,688",12,"$32,307","$366,218",315-80R 22.5 J,Cummins ISL,VOITH D864.5,"39,600"
5012,2013,Gillig,G27B102N4,Bus,LF,35-ft,Yes,32+54,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGB2710D1182102,158131L,2/27/2013,"$389,688",12,"$32,307","$366,040",315-80R 22.5 J,Cummins ISL,VOITH D864.5,"39,600"
5013,2013,Gillig,G27B102N4,Bus,LF,35-ft,Yes,32+54,Ramp,Odyssey,Yes,Yes,Yes,Yes,15GGB2712D1182103,158132L,3/4/2013,"$389,688",12,"$32,307","$366,483",315-80R 22.5 J,Cummins ISL,VOITH D864.5,"39,600"
5,2013 Gillig,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
525,1995,Gillig,40/102TB S-50,Bus,HF,40-ft,Yes,42 +23,Lift,CENTSaBill,Yes,Yes,No,Yes,15GCD2012S1085935,128-457L,7/21/1995,"$212,062",12,"$17,505","$2,000",12R 22.5,DDC Series-50,Allison B400R,"39,400"
532,1995,Gillig,40/102TB S-50,Bus,HF,40-ft,Yes,42 +23,Lift,CENTSaBill,Yes,Yes,No,Yes,15GCD201XS1085942,46-155L,7/25/1995,"$212,062",12,"$17,505","$2,000",12R 22.5,DDC Series-50,Allison B400R,"39,400"
2,Reclassified to Support Fleet,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
76,Total Active Hampton Bus excluding Contingency,,,,,,,,,,,,,,,,,,,,,,,,
,# = Configured to support Hampton and Newport News operations,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
On site,Needed Nov 2013,Type,,,,,,,,,,,,,,,,,,,,,,,
13,11,Max,,,,,,,,,,,,,,,,,,,,,,,
20,13,40 ft,,,,,,,,,,,,,,,,,,,,,,,
34,23,35 ft,,,,,,,,,,,,,,,,,,,,,,,
9,12,29 ft,,,,,,,,,,,,,,,,,,,,,,,
76,59,,,,,,,,,,,,,,,,,,,,,,,,
